Time [s],Packet ID,MOSI,MISO
-1.00282425,0,0b  1000  0010  0000  0101,0b  0000  0000  0000  0000
-0.002296375,1,0b  1000  0000  1001  0111,0b  0000  0000  0000  0000
-0.00225725,2,0b  1000  0010  0011  1101,0b  0000  0000  0000  0000
1.425e-005,3,0b  0000  0000  0000  0000,0b  1000  0001  0000  0000
5.75e-005,4,0b  1011  1000  1010  1010,0b  1111  1111  1111  1110
0.000222375,5,0b  0000  0000  0000  0000,0b  1000  0001  0000  0000
0.000265625,6,0b  1011  1000  1010  1010,0b  1111  1111  1111  1110
0.000431875,7,0b  0000  0000  0000  0000,0b  1000  0001  0000  0000
0.000475125,8,0b  1011  1000  1010  1010,0b  1111  1111  1111  1111
0.000639875,9,0b  0000  0000  0000  0000,0b  1000  0001  0000  0000
0.000683125,10,0b  1011  1000  1010  1010,0b  1111  1111  1111  1110
0.000849375,11,0b  0000  0000  0000  0000,0b  1000  0001  0000  0000
0.000892625,12,0b  1011  1000  0010  1101,0b  1111  1111  1111  1111
0.001057375,13,0b  0000  0000  0000  0000,0b  1000  0001  0000  0000
0.001100625,14,0b  1011  1000  1101  0100,0b  1111  1111  1111  1110
0.001266875,15,0b  0000  0000  0000  0000,0b  1000  0001  0000  0000
0.001310125,16,0b  1011  1000  0000  0001,0b  1111  1111  1111  1111
0.001474875,17,0b  0000  0000  0000  0000,0b  1000  0001  0000  0000
0.001518125,18,0b  1011  1000  0000  0010,0b  1111  1111  1111  1110
0.001684375,19,0b  0000  0000  0000  0000,0b  1000  0001  0000  0000
0.001727625,20,0b  1011  1000  0000  0011,0b  1111  1111  1111  1110
0.001893875,21,0b  0000  0000  0000  0000,0b  1000  0001  0000  0000
0.001937125,22,0b  1011  1000  0000  0100,0b  1111  1111  1111  1111
0.002101875,23,0b  0000  0000  0000  0000,0b  1000  0001  0000  0000
0.002145125,24,0b  1011  1000  0100  0010,0b  1111  1111  1111  1110
0.002311375,25,0b  0000  0000  0000  0000,0b  1000  0001  0000  0000
0.002354625,26,0b  1011  1000  1011  0000,0b  1111  1111  1111  1111
0.002519375,27,0b  0000  0000  0000  0000,0b  1000  0001  0000  0000
0.002562625,28,0b  1011  1000  0000  1011,0b  1111  1111  1111  1110
0.002728875,29,0b  0000  0000  0000  0000,0b  1000  0001  0000  0000
0.002772125,30,0b  1011  1000  1110  0011,0b  1111  1111  1111  1111
0.002936875,31,0b  0000  0000  0000  0000,0b  1000  0001  0000  0000
0.002980125,32,0b  1011  1000  1010  1010,0b  1111  1111  1111  1110
0.003146375,33,0b  0000  0000  0000  0000,0b  1000  0001  0000  0000
0.003294125,34,0b  1000  0000  0001  0111,0b  1111  1111  1111  1110
0.003335125,35,0b  1000  0010  0001  1101,0b  0000  0000  0000  0000
5.004020125,36,0b  1000  0000  1001  0111,0b  0000  0000  0000  0000
5.004059125,37,0b  1000  0010  0011  1101,0b  0000  0000  0000  0000
5.004415625,38,0b  0000  0000  0000  0000,0b  1000  0001  0000  0000
5.0044685,39,0b  1011  1000  1010  1010,0b  1111  1111  1111  1111
5.0046305,40,0b  0000  0000  0000  0000,0b  1000  0001  0000  0000
5.00467375,41,0b  1011  1000  1010  1010,0b  1111  1111  1111  1110
5.004833125,42,0b  0000  0000  0000  0000,0b  1000  0001  0000  0000
5.004886,43,0b  1011  1000  1010  1010,0b  1111  1111  1111  1111
5.00505225,44,0b  0000  0000  0000  0000,0b  1000  0001  0000  0000
5.0050955,45,0b  1011  1000  1010  1010,0b  1111  1111  1111  1111
5.005250625,46,0b  0000  0000  0000  0000,0b  1000  0001  0000  0000
5.0053035,47,0b  1011  1000  0010  1101,0b  1111  1111  1111  1110
5.00546975,48,0b  0000  0000  0000  0000,0b  1000  0001  0000  0000
5.005513,49,0b  1011  1000  1101  0100,0b  1111  1111  1111  1111
5.0056695,50,0b  0000  0000  0000  0000,0b  1000  0001  0000  0000
5.00571275,51,0b  1011  1000  0000  0001,0b  1111  1111  1111  1111
5.00587775,52,0b  0000  0000  0000  0000,0b  1000  0001  0000  0000
5.005921,53,0b  1011  1000  0000  0010,0b  1111  1111  1111  1110
5.006085875,54,0b  0000  0000  0000  0000,0b  1000  0001  0000  0000
5.006129125,55,0b  1011  1000  0000  0011,0b  1111  1111  1111  1111
5.00629525,56,0b  0000  0000  0000  0000,0b  1000  0001  0000  0000
5.0063385,57,0b  1011  1000  0000  0100,0b  1111  1111  1111  1110
5.00650475,58,0b  0000  0000  0000  0000,0b  1000  0001  0000  0000
5.006548,59,0b  1011  1000  0100  0010,0b  1111  1111  1111  1110
5.006712875,60,0b  0000  0000  0000  0000,0b  1000  0001  0000  0000
5.006756125,61,0b  1011  1000  1011  0000,0b  1111  1111  1111  1111
5.00692225,62,0b  0000  0000  0000  0000,0b  1000  0001  0000  0000
5.0069655,63,0b  1011  1000  0000  1011,0b  1111  1111  1111  1110
5.007130375,64,0b  0000  0000  0000  0000,0b  1000  0001  0000  0000
5.007173625,65,0b  1011  1000  1110  0011,0b  1111  1111  1111  1111
5.00733975,66,0b  0000  0000  0000  0000,0b  1000  0001  0000  0000
5.007383,67,0b  1011  1000  1010  1010,0b  1111  1111  1111  1110
5.007547875,68,0b  0000  0000  0000  0000,0b  1000  0001  0000  0000
5.007695625,69,0b  1000  0000  0001  0111,0b  1111  1111  1111  1111
5.007736625,,0b  1000  0010  0001  1101,0b  0000  0000  0000  0000
